"YM","N","masked"
"2010-01",5,1
"2010-02",5,1
"2010-03",5,1
"2010-04",5,1
"2010-05",5,1
"2010-06",5,1
"2010-07",5,1
"2010-08",5,0
"2010-09",5,1
"2010-10",5,1
"2010-11",5,1
"2010-12",5,0
"2011-01",7,0
"2011-02",7,0
"2011-03",7,0
"2011-04",7,0
"2011-05",6,0
"2011-06",5,0
"2011-07",5,1
"2011-08",5,1
"2011-09",5,1
"2011-10",5,1
"2011-11",5,1
"2011-12",5,1
"2012-01",5,1
"2012-02",5,1
"2012-03",5,1
"2012-04",5,1
"2012-05",5,1
"2012-06",5,0
"2012-07",6,0
"2012-08",6,0
"2012-09",5,1
"2012-10",5,0
"2012-11",7,0
"2012-12",7,0
"2013-01",8,0
"2013-02",8,0
"2013-03",8,0
"2013-04",7,0
"2013-05",6,0
"2013-06",7,0
"2013-07",8,0
"2013-08",8,0
"2013-09",7,0
"2013-10",7,0
"2013-11",7,0
"2013-12",8,0
"2014-01",7,0
"2014-02",6,0
"2014-03",6,0
"2014-04",6,0
"2014-05",5,1
"2014-06",5,1
"2014-07",5,1
"2014-08",5,1
"2014-09",5,1
"2014-10",5,1
"2014-11",5,0
"2014-12",5,0
"2015-01",5,0
"2015-02",6,0
"2015-03",8,0
"2015-04",8,0
"2015-05",7,0
"2015-06",6,0
"2015-07",6,0
"2015-08",6,0
"2015-09",5,1
"2015-10",5,0
"2015-11",5,0
"2015-12",5,1
"2016-01",5,1
"2016-02",5,1
"2016-03",5,1
"2016-04",5,1
"2016-05",5,1
"2016-06",5,0
"2016-07",5,0
"2016-08",5,1
"2016-09",5,1
"2016-10",5,0
"2016-11",5,0
"2016-12",5,0
"2017-01",6,0
"2017-02",5,0
"2017-03",5,1
"2017-04",5,1
"2017-05",5,1
"2017-06",5,1
"2017-07",5,1
"2017-08",5,1
"2017-09",5,1
"2017-10",5,0
"2017-11",5,1
"2017-12",5,0
"2018-01",5,0
"2018-02",5,0
"2018-03",5,1
"2018-04",5,1
"2018-05",5,0
"2018-06",6,0
"2018-07",6,0
"2018-08",5,1
"2018-09",5,1
"2018-10",5,1
"2018-11",5,1
"2018-12",5,1
"2019-01",5,1
"2019-02",6,0
"2019-03",5,0
"2019-04",5,0
"2019-05",5,0
"2019-06",5,0
"2019-07",5,0
"2019-08",5,0
"2019-09",6,0
"2019-10",5,1
"2019-11",5,1
"2019-12",5,1
"2020-01",5,1
"2020-02",5,1
"2020-03",5,1
"2020-04",5,1
"2020-05",5,1
"2020-06",5,1
"2020-07",0,0
"2020-08",0,0
"2020-09",0,0
"2020-10",0,0
"2020-11",0,0
"2020-12",0,0
