studyFUmonths,Freq,YM
201001,999,2010-01
201002,469,2010-02
201003,466,2010-03
201004,462,2010-04
201005,465,2010-05
201006,462,2010-06
201007,459,2010-07
201008,460,2010-08
201009,460,2010-09
201010,459,2010-10
201011,459,2010-11
201012,454,2010-12
201101,452,2011-01
201102,452,2011-02
201103,453,2011-03
201104,455,2011-04
201105,455,2011-05
201106,455,2011-06
201107,456,2011-07
201108,458,2011-08
201109,459,2011-09
201110,459,2011-10
201111,458,2011-11
201112,460,2011-12
201201,462,2012-01
201202,464,2012-02
201203,467,2012-03
201204,463,2012-04
201205,464,2012-05
201206,464,2012-06
201207,464,2012-07
201208,466,2012-08
201209,461,2012-09
201210,462,2012-10
201211,462,2012-11
201212,462,2012-12
201301,463,2013-01
201302,461,2013-02
201303,462,2013-03
201304,463,2013-04
201305,463,2013-05
201306,458,2013-06
201307,457,2013-07
201308,454,2013-08
201309,455,2013-09
201310,454,2013-10
201311,451,2013-11
201312,447,2013-12
201401,445,2014-01
201402,446,2014-02
201403,445,2014-03
201404,446,2014-04
201405,446,2014-05
201406,446,2014-06
201407,445,2014-07
201408,445,2014-08
201409,445,2014-09
201410,444,2014-10
201411,444,2014-11
201412,444,2014-12
201501,445,2015-01
201502,445,2015-02
201503,444,2015-03
201504,444,2015-04
201505,445,2015-05
201506,443,2015-06
201507,440,2015-07
201508,438,2015-08
201509,434,2015-09
201510,432,2015-10
201511,431,2015-11
201512,429,2015-12
201601,427,2016-01
201602,424,2016-02
201603,423,2016-03
201604,422,2016-04
201605,420,2016-05
201606,416,2016-06
201607,417,2016-07
201608,416,2016-08
201609,415,2016-09
201610,413,2016-10
201611,413,2016-11
201612,414,2016-12
201701,412,2017-01
201702,412,2017-02
201703,413,2017-03
201704,411,2017-04
201705,409,2017-05
201706,407,2017-06
201707,405,2017-07
201708,401,2017-08
201709,400,2017-09
201710,400,2017-10
201711,397,2017-11
201712,398,2017-12
201801,396,2018-01
201802,394,2018-02
201803,394,2018-03
201804,394,2018-04
201805,391,2018-05
201806,390,2018-06
201807,386,2018-07
201808,385,2018-08
201809,383,2018-09
201810,383,2018-10
201811,380,2018-11
201812,378,2018-12
201901,378,2019-01
201902,377,2019-02
201903,376,2019-03
201904,374,2019-04
201905,374,2019-05
201906,375,2019-06
201907,373,2019-07
201908,372,2019-08
201909,371,2019-09
201910,371,2019-10
201911,370,2019-11
201912,370,2019-12
202001,368,2020-01
202002,367,2020-02
202003,367,2020-03
202004,367,2020-04
202005,369,2020-05
202006,366,2020-06
202007,366,2020-07
202008,366,2020-08
202009,364,2020-09
202010,365,2020-10
202011,364,2020-11
202012,364,2020-12
