Year;Ageband;PY Male;% Male;PY Female;% Female;Total
1995;11-20;0;0;42.97;0.49;42.97
1995;21-30;0;0;133.21;1.51;133.21
1995;31-40;0;0;109.63;1.25;109.63
1995;41-50;0;0;27.05;0.31;27.05
1995;Total;0;0;312.86;3.55;312.86
1996;11-20;0;0;43.09;0.49;43.09
1996;21-30;0;0;112.84;1.28;112.84
1996;31-40;0;0;124.74;1.42;124.74
1996;41-50;0;0;37.34;0.42;37.34
1996;Total;0;0;318.01;3.61;318.01
1997;11-20;0;0;41.07;0.47;41.07
1997;21-30;0;0;99.02;1.12;99.02
1997;31-40;0;0;134.37;1.53;134.37
1997;41-50;0;0;47.61;0.54;47.61
1997;Total;0;0;322.07;3.66;322.07
1998;11-20;0;0;36.47;0.41;36.47
1998;21-30;0;0;90.54;1.03;90.54
1998;31-40;0;0;135.29;1.54;135.29
1998;41-50;0;0;66.36;0.75;66.36
1998;Total;0;0;328.66;3.73;328.66
1999;11-20;0;0;29.36;0.33;29.36
1999;21-30;0;0;81.88;0.93;81.88
1999;31-40;0;0;144.83;1.64;144.83
1999;41-50;0;0;77.95;0.89;77.95
1999;Total;0;0;334.02;3.79;334.02
2000;11-20;0;0;20.87;0.24;20.87
2000;21-30;0;0;73.26;0.83;73.26
2000;31-40;0;0;160;1.82;160
2000;41-50;0;0;82.57;0.94;82.57
2000;Total;0;0;336.7;3.82;336.7
2001;11-20;0;0;15.51;0.18;15.51
2001;21-30;0;0;65.99;0.75;65.99
2001;31-40;0;0;158.92;1.8;158.92
2001;41-50;0;0;92.22;1.05;92.22
2001;51-60;0;0;3.91;0.04;3.91
2001;Total;0;0;336.55;3.82;336.55
2002;11-20;0;0;9.3;0.11;9.3
2002;21-30;0;0;61.07;0.69;61.07
2002;31-40;0;0;161.16;1.83;161.16
2002;41-50;0;0;94.74;1.08;94.74
2002;51-60;0;0;11.52;0.13;11.52
2002;Total;0;0;337.79;3.84;337.79
2003;11-20;0;0;3.39;0.04;3.39
2003;21-30;0;0;47.64;0.54;47.64
2003;31-40;0;0;170.28;1.93;170.28
2003;41-50;0;0;102.53;1.16;102.53
2003;51-60;0;0;14.99;0.17;14.99
2003;Total;0;0;338.83;3.85;338.83
2004;21-30;0;0;44.09;0.5;44.09
2004;31-40;0;0;165.3;1.88;165.3
2004;41-50;0;0;114.76;1.3;114.76
2004;51-60;0;0;16.83;0.19;16.83
2004;Total;0;0;340.98;3.87;340.98
2005;21-30;0;0;43.22;0.49;43.22
2005;31-40;0;0;154;1.75;154
2005;41-50;0;0;113.32;1.29;113.32
2005;51-60;0;0;26.38;0.3;26.38
2005;Total;0;0;336.92;3.83;336.92
2006;21-30;0;0;42.97;0.49;42.97
2006;31-40;0;0;133.4;1.52;133.4
2006;41-50;0;0;123.25;1.4;123.25
2006;51-60;0;0;32.24;0.37;32.24
2006;Total;0;0;331.86;3.77;331.86
2007;21-30;0;0;41.16;0.47;41.16
2007;31-40;0;0;116.77;1.33;116.77
2007;41-50;0;0;132.35;1.5;132.35
2007;51-60;0;0;34.09;0.39;34.09
2007;Total;0;0;324.37;3.68;324.37
2008;21-30;0;0;42.7;0.48;42.7
2008;31-40;0;0;114.63;1.3;114.63
2008;41-50;0;0;153.33;1.74;153.33
2008;51-60;0;0;53.65;0.61;53.65
2008;Total;0;0;364.31;4.14;364.31
2009;21-30;0;0;35.85;0.41;35.85
2009;31-40;0;0;96.85;1.1;96.85
2009;41-50;0;0;174.76;1.98;174.76
2009;51-60;0;0;64.15;0.73;64.15
2009;Total;0;0;371.61;4.22;371.61
2010;21-30;0;0;25.07;0.28;25.07
2010;31-40;0;0;83.55;0.95;83.55
2010;41-50;0;0;198.85;2.26;198.85
2010;51-60;0;0;61.2;0.7;61.2
2010;Total;0;0;368.67;4.19;368.67
2011;21-30;0;0;19.6;0.22;19.6
2011;31-40;0;0;78.05;0.89;78.05
2011;41-50;0;0;204.67;2.32;204.67
2011;51-60;0;0;72.55;0.82;72.55
2011;Total;0;0;374.87;4.26;374.87
2012;21-30;0;0;11.21;0.13;11.21
2012;31-40;0;0;76.15;0.86;76.15
2012;41-50;0;0;210.88;2.4;210.88
2012;51-60;0;0;75.5;0.86;75.5
2012;Total;0;0;373.74;4.24;373.74
2013;21-30;0;0;4.01;0.05;4.01
2013;31-40;0;0;65.56;0.74;65.56
2013;41-50;0;0;222.78;2.53;222.78
2013;51-60;0;0;67.67;0.77;67.67
2013;Total;0;0;360.02;4.09;360.02
2014;31-40;0;0;61.87;0.7;61.87
2014;41-50;0;0;222.4;2.53;222.4
2014;51-60;0;0;73.54;0.84;73.54
2014;Total;0;0;357.81;4.06;357.81
2015;31-40;0;0;61.96;0.7;61.96
2015;41-50;0;0;213.12;2.42;213.12
2015;51-60;0;0;83.03;0.94;83.03
2015;Total;0;0;358.11;4.07;358.11
2016;31-40;0;0;63.16;0.72;63.16
2016;41-50;0;0;188.66;2.14;188.66
2016;51-60;0;0;89.25;1.01;89.25
2016;Total;0;0;341.07;3.87;341.07
2017;31-40;0;0;60.19;0.68;60.19
2017;41-50;0;0;172.95;1.96;172.95
2017;51-60;0;0;95.28;1.08;95.28
2017;Total;0;0;328.42;3.73;328.42
2018;31-40;0;0;53.75;0.61;53.75
2018;41-50;0;0;151.1;1.72;151.1
2018;51-60;0;0;112.24;1.27;112.24
2018;Total;0;0;317.09;3.6;317.09
2019;31-40;0;0;42.53;0.48;42.53
2019;41-50;0;0;120.21;1.37;120.21
2019;51-60;0;0;137.46;1.56;137.46
2019;Total;0;0;300.2;3.41;300.2
2020;31-40;0;0;30.77;0.35;30.77
2020;41-50;0;0;100.69;1.14;100.69
2020;51-60;0;0;157.51;1.79;157.51
2020;Total;0;0;288.97;3.28;288.97
