"","YM","N","Freq","rates"
"1","2009-01",0,452,0
"2","2009-02",0,452,0
"3","2009-03",0,451,0
"4","2009-04",0,451,0
"5","2009-05",0,450,0
"6","2009-06",0,450,0
"7","2009-07",0,450,0
"8","2009-08",0,451,0
"9","2009-09",0,451,0
"10","2009-10",0,457,0
"11","2009-11",0,458,0
"12","2009-12",0,455,0
"13","2010-01",2,453,0.00441501103752759
"14","2010-02",1,453,0.0022075055187638
"15","2010-03",0,452,0
"16","2010-04",1,448,0.00223214285714286
"17","2010-05",3,448,0.00669642857142857
"18","2010-06",3,446,0.00672645739910314
"19","2010-07",0,449,0
"20","2010-08",0,451,0
"21","2010-09",3,452,0.00663716814159292
"22","2010-10",0,457,0
"23","2010-11",1,460,0.00217391304347826
"24","2010-12",0,460,0
"25","2011-01",3,461,0.00650759219088937
"26","2011-02",1,461,0.00216919739696312
"27","2011-03",0,461,0
"28","2011-04",2,464,0.00431034482758621
"29","2011-05",2,469,0.00426439232409382
"30","2011-06",1,471,0.00212314225053079
"31","2011-07",1,470,0.00212765957446809
"32","2011-08",1,474,0.00210970464135021
"33","2011-09",1,476,0.00210084033613445
"34","2011-10",0,478,0
"35","2011-11",1,479,0.00208768267223382
"36","2011-12",1,481,0.00207900207900208
"37","2012-01",1,481,0.00207900207900208
"38","2012-02",2,483,0.0041407867494824
"39","2012-03",2,483,0.0041407867494824
"40","2012-04",3,479,0.00626304801670146
"41","2012-05",0,480,0
"42","2012-06",1,482,0.0020746887966805
"43","2012-07",0,484,0
"44","2012-08",0,485,0
"45","2012-09",0,484,0
"46","2012-10",2,485,0.00412371134020619
"47","2012-11",1,483,0.0020703933747412
"48","2012-12",2,482,0.004149377593361
"49","2013-01",1,484,0.00206611570247934
"50","2013-02",4,482,0.00829875518672199
"51","2013-03",2,486,0.00411522633744856
"52","2013-04",2,486,0.00411522633744856
"53","2013-05",0,486,0
"54","2013-06",1,481,0.00207900207900208
"55","2013-07",1,480,0.00208333333333333
"56","2013-08",1,478,0.00209205020920502
"57","2013-09",0,478,0
"58","2013-10",0,478,0
"59","2013-11",1,478,0.00209205020920502
"60","2013-12",0,478,0
"61","2014-01",1,479,0.00208768267223382
"62","2014-02",4,480,0.00833333333333333
"63","2014-03",3,481,0.00623700623700624
"64","2014-04",0,483,0
"65","2014-05",2,486,0.00411522633744856
"66","2014-06",1,487,0.00205338809034908
"67","2014-07",0,488,0
"68","2014-08",0,489,0
"69","2014-09",0,490,0
"70","2014-10",0,491,0
"71","2014-11",0,492,0
"72","2014-12",1,492,0.00203252032520325
"73","2015-01",1,492,0.00203252032520325
"74","2015-02",1,493,0.00202839756592292
"75","2015-03",1,492,0.00203252032520325
"76","2015-04",0,493,0
"77","2015-05",1,493,0.00202839756592292
"78","2015-06",0,491,0
"79","2015-07",0,490,0
"80","2015-08",0,488,0
"81","2015-09",0,486,0
"82","2015-10",0,484,0
"83","2015-11",0,483,0
"84","2015-12",1,481,0.00207900207900208
"85","2016-01",0,481,0
"86","2016-02",1,479,0.00208768267223382
"87","2016-03",0,477,0
"88","2016-04",0,476,0
"89","2016-05",0,475,0
"90","2016-06",0,471,0
"91","2016-07",1,471,0.00212314225053079
"92","2016-08",0,473,0
"93","2016-09",0,472,0
"94","2016-10",0,470,0
"95","2016-11",0,469,0
"96","2016-12",0,469,0
"97","2017-01",0,466,0
"98","2017-02",1,466,0.00214592274678112
"99","2017-03",1,467,0.00214132762312634
"100","2017-04",0,466,0
"101","2017-05",5,466,0.0107296137339056
"102","2017-06",2,466,0.00429184549356223
"103","2017-07",0,467,0
"104","2017-08",0,466,0
"105","2017-09",2,462,0.00432900432900433
"106","2017-10",0,461,0
"107","2017-11",0,458,0
"108","2017-12",0,459,0
"109","2018-01",0,460,0
"110","2018-02",2,459,0.00435729847494553
"111","2018-03",0,460,0
"112","2018-04",0,459,0
"113","2018-05",0,458,0
"114","2018-06",0,457,0
"115","2018-07",0,453,0
"116","2018-08",0,451,0
"117","2018-09",0,452,0
"118","2018-10",0,452,0
"119","2018-11",0,450,0
"120","2018-12",0,449,0
"121","2019-01",0,447,0
"122","2019-02",1,445,0.00224719101123596
"123","2019-03",0,444,0
"124","2019-04",0,443,0
"125","2019-05",1,441,0.00226757369614512
"126","2019-06",0,440,0
"127","2019-07",0,439,0
"128","2019-08",0,440,0
"129","2019-09",0,439,0
"130","2019-10",0,438,0
"131","2019-11",1,438,0.00228310502283105
"132","2019-12",0,437,0
"133","2020-01",0,437,0
"134","2020-02",0,437,0
"135","2020-03",0,438,0
"136","2020-04",0,438,0
"137","2020-05",0,442,0
"138","2020-06",0,440,0
"139","2020-07",0,440,0
"140","2020-08",0,439,0
"141","2020-09",0,438,0
"142","2020-10",0,440,0
"143","2020-11",0,439,0
"144","2020-12",0,439,0
